date,mosquito_Indicator,rain(mm),mean_T(℃),min_T(℃),max_T(℃)
2017-05-01,"1,057",0.0,20.1,12.8,28.3
2017-05-02,"1,347",0.0,20.7,15.2,28.0
2017-05-03,"1,249",0.0,21.5,14.5,30.2
2017-05-04,"1,284",0.0,21.0,14.8,27.5
2017-05-05,"1,187",0.0,20.9,15.5,27.0
2017-05-06,"1,208",0.0,14.9,10.0,19.3
2017-05-07,969,0.0,16.6,10.9,22.8
2017-05-08,"1,115",0.0,17.9,11.1,23.5
2017-05-09,"1,415",2.5,17.1,15.3,22.6
2017-05-10,"1,287",2.5,16.4,14.2,20.8
2017-05-11,"1,304",0.0,19.3,13.1,24.8
2017-05-12,"2,064",0.0,19.1,16.8,21.1
2017-05-13,"1,876",6.0,16.4,12.4,22.6
2017-05-14,"1,330",0.0,15.7,11.0,20.7
2017-05-15,"2,047",0.0,16.0,12.3,20.1
2017-05-16,"1,974",0.0,17.1,13.3,22.3
2017-05-17,"2,031",0.0,18.6,12.3,25.9
2017-05-18,"2,228",0.0,20.4,13.9,26.9
2017-05-19,"2,025",0.0,21.1,15.1,27.9
2017-05-20,"2,086",0.0,20.9,15.4,27.3
2017-05-21,"2,116",0.0,21.5,16.0,27.6
2017-05-22,"2,064",0.0,21.8,15.9,28.0
2017-05-23,"2,099",5.0,20.0,17.2,24.4
2017-05-24,"1,882",0.1,21.8,16.9,27.8
2017-05-25,"3,017",0.0,19.2,14.4,24.4
2017-05-26,"1,921",0.0,17.7,12.4,23.2
2017-05-27,"2,161",0.0,19.5,13.7,26.4
2017-05-28,"2,142",0.0,21.2,14.4,27.9
2017-05-29,"2,293",0.0,22.9,18.1,29.3
2017-05-30,"2,520",0.0,23.6,18.6,30.3
2017-05-31,"2,131",0.0,23.3,17.7,29.6
2017-06-01,"2,081",0.0,23.3,20.0,27.0
2017-06-02,"2,317",0.0,20.5,15.5,25.6
2017-06-03,"1,948",0.0,20.5,16.1,26.5
2017-06-04,"2,043",0.0,21.7,15.1,28.1
2017-06-05,"2,206",0.0,24.2,16.4,30.3
2017-06-06,"2,360",15.5,19.4,14.5,23.9
2017-06-07,"1,292",12.5,17.6,15.1,19.2
2017-06-08,"1,722",0.0,20.1,15.1,25.9
2017-06-09,"2,427",0.1,21.2,17.9,25.7
2017-06-10,"2,442",4.5,21.5,16.7,27.5
2017-06-11,"2,613",0.0,22.8,14.8,29.6
2017-06-12,"2,792",0.0,22.1,17.0,28.0
2017-06-13,"2,697",0.0,21.5,18.3,25.9
2017-06-14,"2,558",0.0,21.8,17.8,26.8
2017-06-15,"2,986",0.0,23.1,18.0,29.6
2017-06-16,"3,272",0.0,25.5,20.0,32.7
2017-06-17,"3,714",0.0,24.2,20.6,29.9
2017-06-18,"3,480",0.0,24.3,18.6,31.8
2017-06-19,"3,947",0.0,24.8,19.5,30.2
2017-06-20,"3,931",0.0,26.0,20.0,32.7
2017-06-21,"3,969",0.0,25.4,21.7,31.6
2017-06-22,"4,069",0.0,25.3,21.2,30.4
